base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
11424,0.16938841,0.13326855,0.20550825,0.09608507,0.24641836,0.28535724,0.07133931
11425,0.14563563,0.12537725,0.16589402,0.06606477,0.012639798,0.08018756,0.02004689
11426,0.14077501,0.12195013,0.15959989,0.053247426,0.32848218,0.4641658,0.11604145
11427,0.14020811,0.122142695,0.1582735,0.039482694,0.46530494,0.49753729,0.12438432
11428,0.22319649,0.13905714,0.30733582,0.14193963,0.453541,0.64418745,0.16104686
11429,0.325994,0.14990348,0.50208455,0.17235518,0.6559705,1.1705914,0.29264784
11430,0.20251878,0.15898353,0.24605405,0.11021199,0.20814675,0.26761746,0.066904366
11431,0.1859123,0.16303092,0.20879368,0.08455328,0.09829029,0.25356597,0.06339149
11432,0.25325662,0.16399272,0.3425205,0.06130675,0.2990247,0.51484823,0.12871206
11433,0.18841136,0.17174834,0.20507437,0.05835959,0.061270658,0.16548602,0.041371506
11434,0.15720975,0.14522906,0.16919045,0.05481271,0.011259481,0.05684636,0.01421159
11435,0.10547183,0.102085285,0.108858384,0.039288983,0.11308565,0.22496699,0.056241747
11436,0.15414143,0.0828241,0.22545874,0.16371076,0.7289699,0.75096816,0.18774204
11437,0.10836234,0.09025147,0.1264732,0.05069373,0.6122494,0.65895087,0.16473772
11438,0.099358045,0.10303289,0.09568321,0.050125808,0.52285004,0.63676566,0.15919141
11439,0.12928112,0.121336125,0.13722613,0.06332407,0.07651331,0.043024767,0.010756192
11440,0.13593705,0.12525599,0.1466181,0.045780867,0.41971162,0.39493278,0.098733194
11441,0.13938643,0.11518937,0.16358349,0.11579194,0.10726174,0.089006566,0.022251641
11442,0.13079251,0.112059854,0.14952518,0.05818106,0.3773636,0.36645815,0.09161454
11443,0.10082036,0.094706826,0.10693389,0.11145449,0.08544573,0.037758037,0.009439509
11444,0.08262994,0.097262464,0.067997426,0.12726188,0.60194063,1.0529885,0.26324713
11445,0.19273971,0.10838982,0.2770896,0.2403891,0.11654916,0.12806688,0.03201672
11446,0.16155358,0.11974865,0.20335849,0.054190483,0.49399996,0.5536609,0.13841523
