base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
45984,0.1238839,0.010911581,0.23685622,0.19241452,0.0,0.19241452,0.04810363
45986,0.2640267,0.011311081,0.5167423,0.54131037,0.0,0.54131037,0.13532759
45989,0.0655229,0.012406019,0.11863979,0.1166865,0.0,0.1166865,0.029171625
45992,0.16918005,0.014031242,0.32432887,0.3400258,0.0,0.3400258,0.08500645
45995,0.076072395,0.015560227,0.13658457,0.09349385,0.0,0.09349385,0.023373462
45998,0.09068782,0.016329495,0.16504614,0.15480073,0.0,0.15480073,0.038700182
46001,0.26917198,0.019456029,0.51888794,0.504451,0.0,0.504451,0.12611274
46003,0.054424167,0.020037368,0.08881097,0.116893746,0.0,0.116893746,0.029223436
46006,0.40431282,0.022010868,0.7866147,0.7222734,0.0,0.7222734,0.18056835
46009,0.06782936,0.02449278,0.11116594,0.0706422,0.0,0.0706422,0.01766055
46012,0.089649,0.027598897,0.15169911,0.1839685,0.0,0.1839685,0.045992125
46015,0.048445042,0.029556045,0.06733403,0.0578109,0.0,0.0578109,0.014452725
46018,0.08877063,0.031945787,0.14559548,0.08999332,0.0,0.08999332,0.02249833
46021,0.74073845,0.03429803,1.4471788,1.2281537,0.0,1.2281537,0.30703843
46023,0.10893569,0.035446312,0.18242508,0.2872922,0.0,0.2872922,0.07182305
46026,0.6237227,0.03673264,1.2107127,0.87888926,0.0,0.87888926,0.21972232
46029,0.08556395,0.037473638,0.13365425,0.24820732,0.0,0.24820732,0.06205183
46032,0.22450393,0.044564757,0.40444311,0.19484067,0.0,0.19484067,0.048710167
46035,0.1068575,0.04781158,0.16590342,0.104940295,0.0,0.104940295,0.026235074
46038,0.07792852,0.06740781,0.08844924,0.06920546,0.0,0.06920546,0.017301366
46041,0.744513,0.083014816,1.4060111,0.8506171,0.0,0.8506171,0.21265428
46043,0.65872335,0.062230717,1.255216,0.8012255,0.0,0.8012255,0.20030637
46046,0.101053715,0.063334815,0.13877262,0.27682307,0.0,0.27682307,0.06920577
46049,0.122424215,0.058675487,0.18617295,0.3838284,0.0,0.3838284,0.0959571
