base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
45984,0.12065852,0.012233856,0.22908318,0.19241452,0.0,0.19241452,0.04810363
45986,0.2837903,0.012992248,0.5545883,0.54131037,0.0,0.54131037,0.13532759
45989,0.06857317,0.014606108,0.122540236,0.1166865,0.0,0.1166865,0.029171625
45992,0.17608833,0.01584355,0.33633313,0.3400258,0.0,0.3400258,0.08500645
45995,0.07637017,0.017117308,0.13562304,0.09349385,0.0,0.09349385,0.023373462
45998,0.08123752,0.018489232,0.14398581,0.15480073,0.0,0.15480073,0.038700182
46001,0.23959003,0.020428365,0.45875168,0.504451,0.0,0.504451,0.12611274
46003,0.06652168,0.021277333,0.11176604,0.116893746,0.0,0.116893746,0.029223436
46006,0.36873853,0.024306083,0.713171,0.7222734,0.0,0.7222734,0.18056835
46009,0.06441054,0.025612272,0.1032088,0.0706422,0.0,0.0706422,0.01766055
46012,0.07367816,0.030703992,0.11665233,0.1839685,0.0,0.1839685,0.045992125
46015,0.058734745,0.035108317,0.08236117,0.0578109,0.0,0.0578109,0.014452725
46018,0.08531835,0.03889221,0.13174449,0.08999332,0.0,0.08999332,0.02249833
46021,0.77639264,0.040626064,1.5121592,1.2281537,0.0,1.2281537,0.30703843
46023,0.09803156,0.03880925,0.15725388,0.2872922,0.0,0.2872922,0.07182305
46026,0.626177,0.040614154,1.2117399,0.87888926,0.0,0.87888926,0.21972232
46029,0.09243397,0.041961763,0.14290617,0.24820732,0.0,0.24820732,0.06205183
46032,0.21227325,0.0425095,0.382037,0.19484067,0.0,0.19484067,0.048710167
46035,0.102268815,0.04835847,0.15617916,0.104940295,0.0,0.104940295,0.026235074
46038,0.07968999,0.066609815,0.09277016,0.06920546,0.0,0.06920546,0.017301366
46041,0.73583126,0.08438293,1.3872795,0.8506171,0.0,0.8506171,0.21265428
46043,0.71144754,0.08402855,1.3388666,0.8012255,0.0,0.8012255,0.20030637
46046,0.1051234,0.08256882,0.12767799,0.27682307,0.0,0.27682307,0.06920577
46049,0.12212169,0.07854697,0.16569643,0.3838284,0.0,0.3838284,0.0959571
46052,0.13596846,0.08402123,0.18791568,0.19944192,0.0,0.19944192,0.04986048
46055,0.17157365,0.08156108,0.26158622,0.07124241,0.0,0.07124241,0.017810602
46058,0.4274614,0.084324814,0.77059793,0.45278135,0.0,0.45278135,0.11319534
46061,0.6314658,0.08635417,1.1765774,0.73621255,0.0,0.73621255,0.18405314
46063,0.113838516,0.093200006,0.13447702,0.17994761,0.0,0.17994761,0.044986904
46066,0.13835849,0.0863347,0.1903823,0.23241436,0.0,0.23241436,0.05810359
46069,0.18200056,0.09279472,0.2712064,0.4983243,0.0,0.4983243,0.124581076
46072,0.07405556,0.08530932,0.06280181,0.050659675,0.0,0.050659675,0.012664919
46075,0.17030275,0.06942045,0.27118507,0.09428529,0.0,0.09428529,0.023571322
46078,0.17570476,0.051590923,0.29981858,0.17152579,0.0,0.17152579,0.042881448
46081,1.1502995,0.040291555,2.2603076,1.8695621,0.0,1.8695621,0.46739054
46083,0.083349586,0.032888833,0.13381033,0.1440083,0.0,0.1440083,0.036002073
46086,0.05606747,0.028689368,0.08344558,0.03100337,0.0,0.03100337,0.0077508427
46089,0.2534408,0.028361447,0.47852015,0.49587464,0.0,0.49587464,0.12396866
46092,0.2716668,0.023209328,0.52012426,0.5218383,0.0,0.5218383,0.13045958
46095,0.44614828,0.022526154,0.86977035,0.8249549,0.0,0.8249549,0.20623873
46098,0.1908441,0.021670679,0.36001754,0.32032546,0.0,0.32032546,0.080081366
46101,0.036480483,0.020658996,0.052301973,0.01985708,0.0,0.01985708,0.00496427
46103,0.49559423,0.018304592,0.9728839,0.94300026,0.0,0.94300026,0.23575006
46106,0.25774622,0.0173519,0.49814054,0.45636472,0.0,0.45636472,0.11409118
46109,0.22842519,0.020284008,0.43656635,0.36097655,0.0,0.36097655,0.09024414
46112,0.062401254,0.021201903,0.1036006,0.15520799,0.0,0.15520799,0.038801998
46115,0.13839807,0.02536787,0.25142828,0.18146263,0.0,0.18146263,0.045365658
46118,0.07609465,0.021016264,0.13117303,0.122172505,0.0,0.122172505,0.030543126
46121,0.042775672,0.01729945,0.06825189,0.068074815,0.0,0.068074815,0.017018704
46123,0.68662935,0.016947327,1.3563114,1.2291945,0.0,1.2291945,0.30729863
46126,0.2565278,0.017661022,0.49539462,0.51797104,0.0,0.51797104,0.12949276
46129,0.097596385,0.020820025,0.17437275,0.21153565,0.0,0.21153565,0.052883912
46132,0.3786279,0.019817775,0.737438,0.79854035,0.0,0.79854035,0.19963509
46135,0.22831838,0.015285894,0.44135085,0.38176584,0.0,0.38176584,0.09544146
46138,0.08019855,0.017622488,0.14277461,0.093366206,0.0,0.093366206,0.023341551
46141,0.23059987,0.018703563,0.44249615,0.4592274,0.0,0.4592274,0.11480685
46143,0.24316941,0.019062938,0.46727586,0.48533884,0.0,0.48533884,0.12133471
46146,0.14680557,0.02190633,0.2717048,0.31898376,0.0,0.31898376,0.07974594
46149,0.04713386,0.02608073,0.06818698,0.032068815,0.0,0.032068815,0.008017204
46152,0.12897788,0.027238896,0.23071687,0.25059825,0.0,0.25059825,0.06264956
46155,0.38612306,0.02328745,0.74895865,0.746116,0.0,0.746116,0.186529
46158,0.3350592,0.020574575,0.6495438,0.54800886,0.0,0.54800886,0.13700221
46161,0.037473153,0.020821957,0.054124344,0.046788234,0.0,0.046788234,0.011697059
46163,0.034541,0.022564815,0.046517182,0.03561613,0.0,0.03561613,0.008904032
46166,0.811239,0.022513792,1.5999641,1.7499866,0.0,1.7499866,0.43749666
46169,0.209614,0.019743608,0.3994844,0.32869017,0.0,0.32869017,0.08217254
46172,0.043650717,0.019475227,0.067826204,0.07055056,0.0,0.07055056,0.01763764
46175,0.105567545,0.02007374,0.19106136,0.20099086,0.0,0.20099086,0.050247714
46178,0.8133302,0.019741356,1.6069189,1.4862756,0.0,1.4862756,0.3715689
46181,0.24433261,0.019302256,0.46936297,0.45226562,0.0,0.45226562,0.113066405
46183,0.5212452,0.020542415,1.021948,0.9678402,0.0,0.9678402,0.24196005
46186,0.029798767,0.020422153,0.03917538,0.022363191,0.0,0.022363191,0.005590798
46189,0.12807922,0.02099727,0.23516117,0.23398276,0.0,0.23398276,0.05849569
46192,0.13366114,0.021217272,0.246105,0.18922444,0.0,0.18922444,0.04730611
46195,0.6494976,0.020647777,1.2783475,1.320275,0.0,1.320275,0.33006874
46198,0.54572195,0.020595815,1.0708481,1.0274005,0.0,1.0274005,0.25685012
46201,0.22491892,0.022321083,0.4275168,0.47594783,0.0,0.47594783,0.11898696
46203,0.99796027,0.022131294,1.9737892,1.8317022,0.0,1.8317022,0.45792556
46206,0.349794,0.024545977,0.675042,0.5220346,0.0,0.5220346,0.13050865
46209,0.13937767,0.024859203,0.25389612,0.31056163,0.0,0.31056163,0.07764041
46212,0.12114554,0.023847321,0.21844375,0.19963568,0.0,0.19963568,0.04990892
46215,0.6743407,0.025502423,1.3231791,1.0954974,0.0,1.0954974,0.27387434
46218,0.6719665,0.026033385,1.3178996,1.0721749,0.0,1.0721749,0.26804373
46221,0.4445143,0.027586171,0.8614425,1.0320073,0.0,1.0320073,0.25800183
46223,0.18910919,0.025914079,0.3523043,0.3004745,0.0,0.3004745,0.07511862
46226,0.539195,0.02634634,1.0520436,0.8502161,0.0,0.8502161,0.21255402
46229,0.053708058,0.030132273,0.07728384,0.02298209,0.0,0.02298209,0.0057455227
46232,0.039758045,0.046678483,0.032837603,0.052995473,0.0,0.052995473,0.013248868
46235,0.16010928,0.052613992,0.26760456,0.27323818,0.0,0.27323818,0.068309546
46238,0.340705,0.044339582,0.6370704,0.8574219,0.0,0.8574219,0.21435547
46241,0.57042027,0.044737924,1.0961026,0.90547204,0.0,0.90547204,0.22636801
46243,0.11319546,0.04095125,0.18543966,0.18305306,0.0,0.18305306,0.045763265
46246,0.14409722,0.04676771,0.24142672,0.2010771,0.0,0.2010771,0.050269276
46249,0.18866752,0.039959036,0.337376,0.206225,0.0,0.206225,0.05155625
46252,0.19336714,0.033348452,0.35338584,0.30000615,0.0,0.30000615,0.07500154
46255,0.37578145,0.026386589,0.72517633,0.63476044,0.0,0.63476044,0.15869011
46258,0.14924546,0.020326898,0.278164,0.21648683,0.0,0.21648683,0.054121707
46261,0.54564005,0.018516771,1.0727633,1.162341,0.0,1.162341,0.29058525
46263,0.3404895,0.018033216,0.6629458,0.57877773,0.0,0.57877773,0.14469443
46266,0.07742276,0.01981496,0.13503057,0.1546517,0.0,0.1546517,0.038662925
46269,0.094137795,0.020173276,0.16810232,0.10297036,0.0,0.10297036,0.02574259
46272,0.63838017,0.021706095,1.2550542,1.0287739,0.0,1.0287739,0.25719348
46275,0.09621746,0.021318471,0.17111646,0.24179317,0.0,0.24179317,0.060448293
46278,0.17418028,0.019289682,0.3290709,0.26570812,0.0,0.26570812,0.06642703
46281,0.16342854,0.019360954,0.30749613,0.263887,0.0,0.263887,0.06597175
46283,0.97888476,0.018338613,1.9394308,1.7787943,0.0,1.7787943,0.44469857
46286,0.06525585,0.017933868,0.11257783,0.066264145,0.0,0.066264145,0.016566036
46289,0.13891557,0.020551968,0.2572792,0.29669148,0.0,0.29669148,0.07417287
46292,0.39088753,0.021748943,0.76002616,0.7619817,0.0,0.7619817,0.19049543
46295,0.20871274,0.022500744,0.39492473,0.29173067,0.0,0.29173067,0.07293267
46298,0.24917312,0.023302242,0.475044,0.36393106,0.0,0.36393106,0.090982765
46301,0.076649584,0.023485629,0.12981354,0.11161526,0.0,0.11161526,0.027903816
46303,0.11145913,0.02603691,0.19688134,0.10842898,0.0,0.10842898,0.027107244
46306,0.033978194,0.025595227,0.04236116,0.041161727,0.0,0.041161727,0.010290432
46309,0.30304694,0.029195553,0.57689834,0.765038,0.0,0.765038,0.1912595
46312,0.08453489,0.037735976,0.13133381,0.08629957,0.0,0.08629957,0.021574892
46315,0.1791683,0.04662339,0.31171325,0.52208966,0.0,0.52208966,0.13052242
46318,0.13394704,0.04040342,0.22749066,0.13246311,0.0,0.13246311,0.033115778
46321,0.046662483,0.043383878,0.049941093,0.117002405,0.0,0.117002405,0.029250601
46323,0.21801163,0.0430602,0.39296308,0.19577213,0.0,0.19577213,0.04894303
46326,0.092856705,0.058706712,0.12700671,0.04673956,0.0,0.04673956,0.01168489
46329,0.1916727,0.06460167,0.31874374,0.53572756,0.0,0.53572756,0.13393189
46332,0.21498066,0.07043723,0.3595241,0.52534044,0.0,0.52534044,0.13133511
46335,0.25664854,0.063402005,0.44989505,0.22340357,0.0,0.22340357,0.055850893
46338,0.24814956,0.057163253,0.43913588,0.69312304,0.0,0.69312304,0.17328076
46341,0.1119343,0.054182902,0.16968568,0.22252046,0.0,0.22252046,0.055630114
46343,0.26366124,0.050410658,0.47691178,0.35615078,0.0,0.35615078,0.089037694
46346,0.0782034,0.042654753,0.113752045,0.03382972,0.0,0.03382972,0.00845743
46349,0.18353347,0.039065685,0.32800126,0.1709702,0.0,0.1709702,0.04274255
46352,0.44305623,0.0382123,0.84790015,0.62813115,0.0,0.62813115,0.15703279
46355,0.26664063,0.039810747,0.49347052,0.50383025,0.0,0.50383025,0.12595756
46358,0.062110286,0.039690945,0.084529616,0.14127485,0.0,0.14127485,0.035318714
46361,0.5070988,0.03772934,0.97646827,0.73054457,0.0,0.73054457,0.18263614
46363,0.035151917,0.035827957,0.034475874,0.022874897,0.0,0.022874897,0.0057187243
46366,0.07715108,0.028883547,0.12541862,0.12576048,0.0,0.12576048,0.03144012
46369,0.38765773,0.032472152,0.74284333,0.8270245,0.0,0.8270245,0.20675613
46372,0.06701087,0.026075855,0.10794588,0.057927717,0.0,0.057927717,0.014481929
46375,0.07187369,0.020988172,0.1227592,0.08995372,0.0,0.08995372,0.02248843
46378,0.28057796,0.02147759,0.53967834,0.5173458,0.0,0.5173458,0.12933645
46381,0.10626843,0.021727651,0.19080919,0.138362,0.0,0.138362,0.0345905
46383,0.118583195,0.021468043,0.21569835,0.22694199,0.0,0.22694199,0.056735497
46386,0.058878288,0.02368033,0.094076246,0.1089409,0.0,0.1089409,0.027235225
46389,0.201183,0.0236749,0.3786911,0.40958247,0.0,0.40958247,0.10239562
46392,0.13721263,0.024147978,0.2502773,0.2064141,0.0,0.2064141,0.051603526
46395,0.25254616,0.029463032,0.47562924,0.3505944,0.0,0.3505944,0.0876486
46398,0.7032477,0.032192577,1.3743029,1.3803371,0.0,1.3803371,0.34508428
46401,0.065229,0.038096406,0.09236159,0.13557222,0.0,0.13557222,0.033893056
46403,0.11436809,0.04136205,0.18737413,0.25964352,0.0,0.25964352,0.06491088
46406,0.524325,0.042290296,1.0063597,1.1584753,0.0,1.1584753,0.28961882
46409,0.16346139,0.049404535,0.27751824,0.1612615,0.0,0.1612615,0.040315375
46412,0.22685945,0.05354691,0.400172,0.20669049,0.0,0.20669049,0.051672623
46415,0.08289095,0.053424325,0.11235758,0.06995946,0.0,0.06995946,0.017489865
46418,0.06928898,0.05651042,0.082067534,0.17865382,0.0,0.17865382,0.044663455
46421,0.9054778,0.07094647,1.7400092,1.227223,0.0,1.227223,0.30680576
46423,0.25689948,0.082487114,0.43131185,0.15466036,0.0,0.15466036,0.03866509
46426,0.08873415,0.11558559,0.061882723,0.23378368,0.0,0.23378368,0.05844592
46429,0.12323427,0.11824911,0.12821944,0.01848583,0.0,0.01848583,0.0046214573
46432,0.18097775,0.11656163,0.24539386,0.058572188,0.0,0.058572188,0.014643047
46435,0.6199295,0.13969566,1.1001633,0.5107514,0.0,0.5107514,0.12768786
46438,0.17162473,0.1287792,0.21447027,0.49416518,0.0,0.49416518,0.123541296
46441,0.14875299,0.13507922,0.16242674,0.4316493,0.0,0.4316493,0.107912324
46443,0.12496037,0.129743,0.120177746,0.11668342,0.0,0.11668342,0.029170856
46446,0.6927097,0.112692684,1.2727267,0.6934104,0.0,0.6934104,0.1733526
46449,0.32780984,0.108190335,0.5474294,0.97785664,0.0,0.97785664,0.24446416
46452,0.3196558,0.09860376,0.5407078,0.21855283,0.0,0.21855283,0.054638207
46455,0.08356247,0.07835431,0.08877063,0.12505619,0.0,0.12505619,0.031264048
46458,0.7221763,0.06773356,1.376619,0.89754725,0.0,0.89754725,0.22438681
46461,0.44812226,0.064665176,0.8315794,0.49288425,0.0,0.49288425,0.12322106
46463,0.88098794,0.062351827,1.6996241,1.1794182,0.0,1.1794182,0.29485455
46466,0.07298374,0.0724426,0.073524885,0.054140553,0.0,0.054140553,0.013535138
46469,0.14643277,0.09606055,0.19680499,0.04168403,0.0,0.04168403,0.010421008
46472,0.59449023,0.10164171,1.0873388,0.5879521,0.0,0.5879521,0.14698802
46475,0.34584948,0.102820754,0.5888782,0.9496811,0.0,0.9496811,0.23742028
46478,0.61563426,0.12418195,1.1070867,0.54291844,0.0,0.54291844,0.13572961
46481,0.10676498,0.13753971,0.07599025,0.26841676,0.0,0.26841676,0.06710419
46483,0.0963416,0.14480697,0.047876235,0.17780967,0.0,0.17780967,0.044452418
46486,0.27275893,0.12772305,0.41779482,0.17867208,0.0,0.17867208,0.04466802
46489,0.33638766,0.09080503,0.5819703,0.91065997,0.0,0.91065997,0.22766499
46492,0.27082196,0.077976234,0.46366766,0.17818278,0.0,0.17818278,0.044545695
46495,0.087020166,0.07896916,0.095071174,0.26536718,0.0,0.26536718,0.066341795
46498,0.75078195,0.07657356,1.4249903,1.7887859,0.0,1.7887859,0.44719648
46501,0.11774627,0.07207668,0.16341586,0.3843077,0.0,0.3843077,0.09607693
46503,0.12846987,0.06587369,0.19106604,0.11620968,0.0,0.11620968,0.02905242
46506,0.17999732,0.07479316,0.28520152,0.18153135,0.0,0.18153135,0.04538284
46509,0.32645634,0.06977483,0.5831378,0.28090787,0.0,0.28090787,0.07022697
46512,0.12317941,0.0660158,0.18034303,0.070388615,0.0,0.070388615,0.017597154
46515,0.3626925,0.069467254,0.6559178,0.37300476,0.0,0.37300476,0.09325119
46518,0.5189299,0.07997232,0.9578874,0.5536934,0.0,0.5536934,0.13842335
46521,0.45575252,0.08652011,0.82498497,0.44258597,0.0,0.44258597,0.110646494
46523,0.16300234,0.09298146,0.23302323,0.39911833,0.0,0.39911833,0.09977958
46526,0.30557203,0.10246208,0.50868195,0.8961918,0.0,0.8961918,0.22404794
46529,0.9810342,0.10008154,1.8619868,1.2462624,0.0,1.2462624,0.3115656
46532,0.2654543,0.11479539,0.41611323,0.39293846,0.0,0.39293846,0.098234616
46535,0.11686177,0.12824531,0.10547823,0.09489712,0.0,0.09489712,0.02372428
46538,0.24425526,0.10697869,0.38153183,0.13591117,0.0,0.13591117,0.03397779
46541,0.14821737,0.120399974,0.17603476,0.15595472,0.0,0.15595472,0.03898868
46543,0.61974823,0.10312452,1.136372,0.68900895,0.0,0.68900895,0.17225224
46546,0.1947484,0.093833946,0.29566285,0.23327506,0.0,0.23327506,0.058318764
46549,0.12547098,0.07412994,0.17681204,0.11314692,0.0,0.11314692,0.02828673
46552,0.072657324,0.049990017,0.09532463,0.15025543,0.0,0.15025543,0.037563857
46555,0.11295446,0.044859182,0.18104975,0.08209075,0.0,0.08209075,0.020522688
46558,0.29883608,0.034110226,0.5635619,0.5016815,0.0,0.5016815,0.12542038
46561,0.479571,0.0337498,0.9253922,0.733022,0.0,0.733022,0.1832555
46563,0.15746868,0.03420866,0.2807287,0.28614,0.0,0.28614,0.071535
46566,0.052388847,0.034181178,0.070596516,0.042739928,0.0,0.042739928,0.010684982
46569,0.10315546,0.03272813,0.17358278,0.115796804,0.0,0.115796804,0.028949201
46572,0.10004196,0.032862533,0.16722138,0.11276608,0.0,0.11276608,0.02819152
46575,0.09976851,0.031295978,0.16824104,0.122003146,0.0,0.122003146,0.030500786
46578,0.28825325,0.029879093,0.5466274,0.5312271,0.0,0.5312271,0.13280678
46581,0.09509963,0.03191176,0.1582875,0.08031616,0.0,0.08031616,0.02007904
46583,0.2661532,0.032591775,0.4997146,0.45566878,0.0,0.45566878,0.113917194
46586,0.5246902,0.028826067,1.0205544,0.94762343,0.0,0.94762343,0.23690586
46589,0.037417017,0.02892824,0.045905795,0.03264548,0.0,0.03264548,0.00816137
46592,0.10669065,0.027881326,0.18549998,0.121581934,0.0,0.121581934,0.030395484
46595,0.06281041,0.028715149,0.09690567,0.059381437,0.0,0.059381437,0.014845359
46598,0.18617286,0.025415445,0.34693027,0.37609482,0.0,0.37609482,0.094023705
46601,0.19702221,0.025225274,0.36881915,0.41819584,0.0,0.41819584,0.10454896
46603,0.6304049,0.025845373,1.2349645,1.2892426,0.0,1.2892426,0.32231066
46606,0.24646853,0.025166258,0.46777079,0.34800327,0.0,0.34800327,0.08700082
46609,0.5165582,0.02524141,1.007875,0.83760613,0.0,0.83760613,0.20940153
46612,0.18186975,0.03286216,0.33087733,0.17546189,0.0,0.17546189,0.043865472
46615,0.09323528,0.05238494,0.13408561,0.26401755,0.0,0.26401755,0.06600439
46618,0.06162183,0.062377315,0.060866345,0.08334843,0.0,0.08334843,0.020837108
46621,0.07787188,0.06520233,0.09054143,0.21196888,0.0,0.21196888,0.05299222
46623,0.075215355,0.06633219,0.08409852,0.13157964,0.0,0.13157964,0.03289491
46626,0.09638176,0.08601538,0.10674814,0.07720363,0.0,0.07720363,0.019300908
46629,0.2770854,0.08560681,0.46856394,0.1765513,0.0,0.1765513,0.044137824
46632,0.1338275,0.07967851,0.18797648,0.062471423,0.0,0.062471423,0.015617856
46635,0.65039957,0.06211464,1.2386845,0.7987421,0.0,0.7987421,0.19968553
46638,1.1592971,0.061634015,2.2569602,1.6023268,0.0,1.6023268,0.4005817
46641,0.06235363,0.060536772,0.06417049,0.06515377,0.0,0.06515377,0.016288443
46643,0.48579964,0.057644363,0.9139549,1.3352572,0.0,1.3352572,0.3338143
46646,1.3878664,0.0675449,2.7081878,1.9512019,0.0,1.9512019,0.48780048
46649,0.1367734,0.06514724,0.20839955,0.07517945,0.0,0.07517945,0.018794863
46652,0.10877272,0.069833435,0.14771199,0.036262583,0.0,0.036262583,0.009065646
46655,0.5587979,0.05812879,1.059467,1.5425237,0.0,1.5425237,0.38563094
