base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
45984,0.15011434,0.015422304,0.28480637,0.19023342,0.0007093747,0.19241452,0.04810363
45986,0.23455715,0.02134799,0.4477663,0.5973494,0.0018237432,0.54131037,0.13532759
45989,0.08415592,0.015118969,0.15319286,0.12439629,0.00049273175,0.1166865,0.029171625
45992,0.14723106,0.013498195,0.28096393,0.344883,0.0005173683,0.3400258,0.08500645
45995,0.0811834,0.012862443,0.14950435,0.09945959,0.00046650568,0.09349385,0.023373462
45998,0.10275609,0.017279366,0.18823282,0.14471957,0.0005517006,0.15480073,0.038700182
46001,0.30369607,0.028034635,0.57935745,0.4618257,0.0018741289,0.504451,0.12611274
46003,0.050900668,0.020035831,0.0817655,0.116893746,0.0,0.116893746,0.029223436
46006,0.42963412,0.020600243,0.83866805,0.69291925,0.0008412997,0.7222734,0.18056835
46009,0.0750451,0.022597695,0.1274925,0.079509206,0.0010124842,0.0706422,0.01766055
46012,0.10911504,0.029972522,0.18825758,0.15645005,0.0017835299,0.1839685,0.045992125
46015,0.043228853,0.02390322,0.062554486,0.05675642,0.00053898495,0.0578109,0.014452725
46018,0.097812615,0.028131625,0.1674936,0.10328273,0.0014429092,0.08999332,0.02249833
46021,0.65180904,0.027351528,1.2762665,1.1443415,0.0027856827,1.2281537,0.30703843
46023,0.12700057,0.039148342,0.21485281,0.27214217,0.001426061,0.2872922,0.07182305
46026,0.5746084,0.033529844,1.1156869,0.87024325,0.0002339681,0.87888926,0.21972232
46029,0.10254084,0.029846983,0.17523469,0.24714415,0.00013573964,0.24820732,0.06205183
46032,0.19127625,0.030646205,0.3519063,0.21483664,0.0020081203,0.19484067,0.048710167
46035,0.071159266,0.029768707,0.112549834,0.10581983,0.0003622373,0.104940295,0.026235074
46038,0.059426967,0.037240297,0.08161364,0.059783448,0.0014624596,0.06920546,0.017301366
46041,0.66967887,0.05145982,1.287898,0.8886964,0.0010091463,0.8506171,0.21265428
46043,0.59728134,0.042051215,1.1525115,0.8012255,0.0,0.8012255,0.20030637
46046,0.100126185,0.03104326,0.16920912,0.26235393,0.0011301041,0.27682307,0.06920577
46049,0.13480054,0.030945525,0.23865557,0.37737918,0.00071970624,0.3838284,0.0959571
46052,0.11393752,0.037207525,0.19066751,0.20257024,0.0004895528,0.19944192,0.04986048
46055,0.097886585,0.037162874,0.15861028,0.05843823,0.0020038288,0.07124241,0.017810602
46058,0.29324266,0.03296596,0.5535193,0.432537,0.0006146431,0.45278135,0.11319534
46061,0.47631916,0.03836815,0.91427016,0.69494814,0.0013243357,0.73621255,0.18405314
46063,0.099971265,0.033445377,0.16649716,0.1662784,0.00072956085,0.17994761,0.044986904
46066,0.13396268,0.02998869,0.23793668,0.210849,0.0013632774,0.23241436,0.05810359
46069,0.21449482,0.035465572,0.39352408,0.50818974,0.00031232834,0.4983243,0.124581076
46072,0.033056546,0.030812817,0.035300273,0.051244706,0.0006341934,0.050659675,0.012664919
46075,0.09818562,0.022753557,0.17361768,0.09428529,0.0,0.09428529,0.023571322
46078,0.079709806,0.018014157,0.14140545,0.15333147,0.0012660027,0.17152579,0.042881448
46081,0.89388674,0.016944313,1.7708292,1.7910637,0.0012183189,1.8695621,0.46739054
46083,0.09730709,0.016916415,0.17769778,0.14336413,0.00039974847,0.1440083,0.036002073
46086,0.03489491,0.01796743,0.051822383,0.03100337,0.0,0.03100337,0.0077508427
46089,0.3454847,0.01555081,0.6754186,0.5336303,0.0011866888,0.49587464,0.12396866
46092,0.34383807,0.016280254,0.67139584,0.5218508,0.00036366782,0.5218383,0.13045958
46095,0.5596505,0.017965803,1.1013352,0.87772614,0.0015473366,0.8249549,0.20623873
46098,0.11977991,0.021722564,0.21783726,0.3220085,0.00040245056,0.32032546,0.080081366
46101,0.050058126,0.022710556,0.07740569,0.025142448,0.002272288,0.01985708,0.00496427
46103,0.40179893,0.028473476,0.7751244,0.9432195,0.00010871887,0.94300026,0.23575006
46106,0.34253803,0.037224595,0.64785147,0.45636472,0.0,0.45636472,0.11409118
46109,0.35524714,0.06055349,0.6499408,0.37081358,0.00029738745,0.36097655,0.09024414
46112,0.06783825,0.054060344,0.08161616,0.14855923,0.0005745888,0.15520799,0.038801998
46115,0.23547496,0.07899516,0.39195478,0.17208989,0.00054661435,0.18146263,0.045365658
46118,0.08858933,0.055594433,0.121584214,0.13456038,0.0017089844,0.122172505,0.030543126
46121,0.044152934,0.02636919,0.061936677,0.068074815,0.0,0.068074815,0.017018704
46123,0.823026,0.039201055,1.606851,1.2403257,0.00034077963,1.2291945,0.30729863
46126,0.2188382,0.037175998,0.4005004,0.54550594,0.0009967486,0.51797104,0.12949276
46129,0.07980647,0.027989998,0.13162293,0.21153565,0.0,0.21153565,0.052883912
46132,0.34559128,0.02404817,0.66713434,0.81544733,0.00025335947,0.79854035,0.19963509
46135,0.23616369,0.009389429,0.46293795,0.38389304,0.00017754237,0.38176584,0.09544146
46138,0.06433171,0.012544632,0.11611879,0.08294982,0.002951463,0.093366206,0.023341551
46141,0.1918322,0.014081273,0.36958313,0.4592274,0.0,0.4592274,0.11480685
46143,0.32872954,0.022638565,0.6348205,0.48287812,9.854634e-06,0.48533884,0.12133471
46146,0.11313981,0.014783406,0.21149622,0.31253543,7.851919e-05,0.31898376,0.07974594
46149,0.0271727,0.016356,0.037989397,0.027910367,0.0007535617,0.032068815,0.008017204
46152,0.09195569,0.019187251,0.16472413,0.25059825,0.0,0.25059825,0.06264956
46155,0.27001604,0.020405397,0.5196267,0.6799574,0.0024574597,0.746116,0.186529
46158,0.41614878,0.028860033,0.80343753,0.54800886,0.0,0.54800886,0.13700221
46161,0.03531112,0.031731084,0.038891163,0.046788234,0.0,0.046788234,0.011697059
46163,0.045245666,0.04236731,0.048124027,0.035646427,0.0004237493,0.03561613,0.008904032
46166,0.68830496,0.043691408,1.3329185,1.7499866,0.0,1.7499866,0.43749666
46169,0.27174214,0.04816627,0.49531803,0.3105717,0.0010964075,0.32869017,0.08217254
46172,0.042939525,0.037458833,0.04842022,0.06289912,0.001104196,0.07055056,0.01763764
46175,0.08744657,0.040592197,0.13430093,0.20457084,0.00066423416,0.20099086,0.050247714
46178,0.9657534,0.035555366,1.8959514,1.4862756,0.0,1.4862756,0.3715689
46181,0.32465097,0.034806404,0.6144955,0.44429103,0.00043328604,0.45226562,0.113066405
46183,0.6565764,0.03756258,1.2755902,0.94552785,0.00061066943,0.9678402,0.24196005
46186,0.04809614,0.048343886,0.04784839,0.023316078,0.00046952566,0.022363191,0.005590798
46189,0.21933794,0.050597664,0.3880782,0.23398276,0.0,0.23398276,0.05849569
46192,0.103785776,0.037857857,0.16971369,0.17175019,0.0012396177,0.18922444,0.04730611
46195,0.54032296,0.046195496,1.0344504,1.3993311,0.0014575323,1.320275,0.33006874
46198,0.44348374,0.02043041,0.8665371,1.0274005,0.0,1.0274005,0.25685012
46201,0.27003613,0.011011367,0.5290609,0.47594783,0.0,0.47594783,0.11898696
46203,0.87708443,0.010907299,1.7432615,1.8317022,0.0,1.8317022,0.45792556
46206,0.2585484,0.019512145,0.49758467,0.5549752,0.0009415944,0.5220346,0.13050865
46209,0.17436825,0.0116983475,0.33703813,0.31056163,0.0,0.31056163,0.07764041
46212,0.1236477,0.012571387,0.234724,0.19963568,0.0,0.19963568,0.04990892
46215,0.6002981,0.013359631,1.1872365,1.129367,0.0012023052,1.0954974,0.27387434
46218,0.5646928,0.0149216615,1.1144639,1.0995346,0.0005267461,1.0721749,0.26804373
46221,0.55092555,0.01619956,1.0856515,1.0320073,0.0,1.0320073,0.25800183
46223,0.12982415,0.016515933,0.24313235,0.27455476,0.000995636,0.3004745,0.07511862
46226,0.4646447,0.0134034185,0.915886,0.8502161,0.0,0.8502161,0.21255402
46229,0.03388484,0.013605152,0.054164525,0.024807474,0.00029583773,0.02298209,0.0057455227
46232,0.022313679,0.020025503,0.024601856,0.05081661,0.00028125444,0.052995473,0.013248868
46235,0.16507126,0.022675589,0.30746692,0.2663389,0.00022931893,0.27323818,0.068309546
46238,0.4278779,0.01807897,0.8376768,0.8799572,0.0006021659,0.8574219,0.21435547
46241,0.4603908,0.018321162,0.9024604,0.8922016,0.0002681017,0.90547204,0.22636801
46243,0.13774227,0.020873666,0.25461087,0.2011799,0.0008563201,0.18305306,0.045763265
46246,0.15273236,0.017174574,0.2882901,0.21027899,0.00070222217,0.2010771,0.050269276
46249,0.12852626,0.020759033,0.23629348,0.206225,0.0,0.206225,0.05155625
46252,0.10707885,0.024319267,0.18983842,0.30000615,0.0,0.30000615,0.07500154
46255,0.24664032,0.020876521,0.47240412,0.6099096,0.00044870377,0.63476044,0.15869011
46258,0.22940882,0.03419775,0.42461988,0.23985803,0.0008625984,0.21648683,0.054121707
46261,0.41650406,0.034788873,0.79821926,1.1135497,0.0011534691,1.162341,0.29058525
46263,0.4570155,0.037074953,0.87695605,0.57877773,0.0,0.57877773,0.14469443
46266,0.06441391,0.032839727,0.095988095,0.14597538,0.00045585632,0.1546517,0.038662925
46269,0.13547102,0.0462506,0.22469144,0.10236263,0.00045744577,0.10297036,0.02574259
46272,0.72862905,0.03998899,1.4172691,1.0287739,0.0,1.0287739,0.25719348
46275,0.081883214,0.038587686,0.12517874,0.21492857,0.0023857753,0.24179317,0.060448293
46278,0.24705958,0.03524709,0.45887208,0.27773517,0.0006448428,0.26570812,0.06642703
46281,0.2164957,0.030221174,0.4027702,0.263887,0.0,0.263887,0.06597175
46283,1.0759369,0.021946073,2.1299279,1.7787943,0.0,1.7787943,0.44469857
46286,0.0624297,0.011391654,0.11346775,0.066264145,0.0,0.066264145,0.016566036
46289,0.1642551,0.013921735,0.31458846,0.27004126,0.0014475584,0.29669148,0.07417287
46292,0.43517378,0.01178778,0.8585598,0.7869049,0.0009972254,0.7619817,0.19049543
46295,0.16350405,0.018064693,0.30894342,0.30722737,0.00093428296,0.29173067,0.07293267
46298,0.2064864,0.015877085,0.3970957,0.36393106,0.0,0.36393106,0.090982765
46301,0.084281296,0.018376218,0.15018637,0.110134564,5.7697296e-05,0.11161526,0.027903816
46303,0.105522215,0.013007938,0.19803649,0.13158225,0.003179868,0.10842898,0.027107244
