base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
45984,0.14117736,0.013964803,0.2683899,0.19241452,0.0,0.19241452,0.04810363
45986,0.26300913,0.013205886,0.5128124,0.54131037,0.0,0.54131037,0.13532759
45989,0.057306945,0.011394366,0.10321953,0.1166865,0.0,0.1166865,0.029171625
45992,0.16566204,0.011269387,0.32005468,0.3400258,0.0,0.3400258,0.08500645
45995,0.037010767,0.014294873,0.05972666,0.047351617,0.016684135,0.09349385,0.023373462
45998,0.08632072,0.010304085,0.16233735,0.15480073,0.0,0.15480073,0.038700182
46001,0.26468396,0.009823952,0.51954395,0.504451,0.0,0.504451,0.12611274
46003,0.058785956,0.009539528,0.10803238,0.116893746,0.0,0.116893746,0.029223436
46006,0.039020505,0.010301683,0.06773933,0.04162586,0.6257915,0.7222734,0.18056835
46009,0.029258898,0.01033908,0.048178714,0.06737127,0.065738924,0.0706422,0.01766055
46012,0.08437101,0.01147069,0.15727133,0.1839685,0.0,0.1839685,0.045992125
46015,0.026719695,0.013282433,0.040156957,0.036083486,0.021005312,0.0578109,0.014452725
46018,0.036003314,0.016086182,0.05592045,0.041087043,0.01811711,0.08999332,0.02249833
46021,0.051181603,0.019274628,0.08308858,0.070076585,1.278701,1.2281537,0.30703843
46023,0.040787924,0.02151888,0.060056966,0.025274118,0.3154293,0.2872922,0.07182305
46026,0.0993225,0.025829412,0.17281558,0.11869323,0.9328292,0.87888926,0.21972232
46029,0.025690032,0.02625773,0.025122335,0.031576004,0.13021773,0.24820732,0.06205183
46032,0.18127413,0.025930732,0.33661756,0.19484067,0.0,0.19484067,0.048710167
46035,0.07931195,0.024253696,0.13437021,0.104940295,0.0,0.104940295,0.026235074
46038,0.053988617,0.041829307,0.06614792,0.033285607,0.022134742,0.06920546,0.017301366
46041,0.6047698,0.033700254,1.1758394,0.8506171,0.0,0.8506171,0.21265428
