base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
42061,0.5406692,0.0031888953,1.0781494,1.1883227,0.0,1.1883227,0.29708067
42063,0.2183562,0.0031193814,0.43359303,0.48071012,0.0,0.48071012,0.12017753
42066,0.16102503,0.0029651162,0.31908497,0.35352373,0.0,0.35352373,0.08838093
42068,0.053562716,0.0028483996,0.10427704,0.0854068,0.0,0.0854068,0.0213517
42071,0.21433562,0.0025809377,0.42609033,0.3897539,0.0,0.3897539,0.09743848
42074,0.5446491,0.0022604114,1.0870378,1.1683743,0.0,1.1683743,0.29209358
42076,0.24469441,0.0021575943,0.48723122,0.45423254,0.0,0.45423254,0.113558136
42079,0.040312257,0.0019924173,0.078632094,0.06588754,0.0,0.06588754,0.016471885
42081,0.07199318,0.0018898487,0.14209652,0.14976744,0.0,0.14976744,0.03744186
42084,0.6685179,0.0017266762,1.3353091,1.2641,0.0,1.2641,0.316025
42087,0.13439883,0.0015493481,0.2672483,0.270824,0.0,0.270824,0.067706
42089,0.090104856,0.0014455599,0.17876416,0.19809334,0.0,0.19809334,0.049523335
42092,0.2641326,0.0013436385,0.5269215,0.55999136,0.0,0.55999136,0.13999784
42094,0.71425396,0.0012765247,1.4272314,1.3679619,0.0,1.3679619,0.34199047
42097,0.06206466,0.0013730219,0.122756295,0.13975433,0.0,0.13975433,0.03493858
42100,0.13614227,0.0011154499,0.2711691,0.27819547,0.0,0.27819547,0.06954887
42102,0.3279144,0.0010447239,0.654784,0.68420106,0.0,0.68420106,0.17105027
42105,0.353297,0.000976854,0.70561713,0.67010707,0.0,0.67010707,0.16752677
42108,0.10962331,0.0010026948,0.21824394,0.20355952,0.0,0.20355952,0.05088988
42110,0.2574644,0.0008492435,0.5140796,0.4961765,0.0,0.4961765,0.12404413
42113,0.22135156,0.0008565963,0.44184652,0.42313445,0.0,0.42313445,0.10578361
42115,0.041656278,0.0008084913,0.082504064,0.07541796,0.0,0.07541796,0.01885449
42118,0.35464147,0.0007890693,0.7084939,0.67473596,0.0,0.67473596,0.16868399
42121,0.18324687,0.0007921353,0.3657016,0.34660006,0.0,0.34660006,0.086650014
42123,0.43045223,0.0008221411,0.8600823,0.8276593,0.0,0.8276593,0.20691483
42126,0.020598998,0.00079516903,0.040402826,0.03763343,0.0,0.03763343,0.009408358
42128,0.23364466,0.0007912647,0.46649805,0.43490314,0.0,0.43490314,0.108725786
42131,0.20164484,0.00082113687,0.40246853,0.37561592,0.0,0.37561592,0.09390398
42134,0.18998541,0.00090378296,0.37906706,0.34497687,0.0,0.34497687,0.08624422
42136,0.53779715,0.0009514278,1.0746428,1.126213,0.0,1.126213,0.28155324
42139,0.13020122,0.0013205308,0.25908193,0.22950774,0.0,0.22950774,0.057376936
42141,0.2238614,0.0019875357,0.44573525,0.40385243,0.0,0.40385243,0.10096311
42144,0.1327588,0.0015411377,0.26397645,0.2979898,0.0,0.2979898,0.07449745
42147,0.18801858,0.001326067,0.37471107,0.33481956,0.0,0.33481956,0.08370489
42149,0.035535824,0.0013965351,0.06967511,0.07103256,0.0,0.07103256,0.01775814
42152,0.19362684,0.0015132135,0.3857405,0.3425916,0.0,0.3425916,0.0856479
42155,0.053975716,0.0015699725,0.10638145,0.11748523,0.0,0.11748523,0.029371308
42157,0.4032582,0.001609879,0.80490655,0.872658,0.0,0.872658,0.2181645
42160,0.029837077,0.0017221918,0.05795196,0.047234077,0.0,0.047234077,0.011808519
42162,0.42140543,0.0017831606,0.84102774,0.91689533,0.0,0.91689533,0.22922383
42165,0.03160635,0.001899497,0.0613132,0.05815977,0.0,0.05815977,0.014539942
42168,0.04479343,0.0020480647,0.0875388,0.09122616,0.0,0.09122616,0.02280654
42170,0.08368819,0.0021556688,0.16522072,0.2000432,0.0,0.2000432,0.0500108
42173,0.21290587,0.0023458316,0.42346588,0.4857764,0.0,0.4857764,0.1214441
42175,0.2898937,0.002489017,0.57729834,0.510958,0.0,0.510958,0.1277395
42178,0.037242018,0.002736018,0.07174802,0.0864774,0.0,0.0864774,0.02161935
42181,0.7391173,0.0029258365,1.4753088,1.3533989,0.0,1.3533989,0.33834973
