base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
42061,0.5484817,0.005348707,1.0916147,1.1883227,0.0,1.1883227,0.29708067
42063,0.23492266,0.0053248834,0.46452045,0.48071012,0.0,0.48071012,0.12017753
42066,0.17575246,0.005341233,0.34616366,0.35352373,0.0,0.35352373,0.08838093
42068,0.05578242,0.0053472514,0.106217586,0.0854068,0.0,0.0854068,0.0213517
42071,0.2050487,0.0053898953,0.40470752,0.3897539,0.0,0.3897539,0.09743848
42074,0.55856174,0.0054798163,1.1116437,1.1683743,0.0,1.1683743,0.29209358
42076,0.2349581,0.005420989,0.46449518,0.45423254,0.0,0.45423254,0.113558136
42079,0.047101106,0.0053026876,0.08889952,0.06588754,0.0,0.06588754,0.016471885
42081,0.08219698,0.0052964594,0.15909751,0.14976744,0.0,0.14976744,0.03744186
42084,0.66675043,0.005178139,1.3283226,1.2641,0.0,1.2641,0.316025
42087,0.14465956,0.00502726,0.28429186,0.270824,0.0,0.270824,0.067706
42089,0.09533968,0.005162328,0.18551703,0.19809334,0.0,0.19809334,0.049523335
42092,0.27280113,0.0052718506,0.54033047,0.55999136,0.0,0.55999136,0.13999784
42094,0.7237827,0.0053398362,1.4422256,1.3679619,0.0,1.3679619,0.34199047
42097,0.06434751,0.0052080625,0.12348696,0.13975433,0.0,0.13975433,0.03493858
42100,0.14504449,0.004996447,0.28509256,0.27819547,0.0,0.27819547,0.06954887
42102,0.33428136,0.0049392204,0.6636235,0.68420106,0.0,0.68420106,0.17105027
42105,0.3630623,0.0045385393,0.72158605,0.67010707,0.0,0.67010707,0.16752677
42108,0.11080748,0.0043662232,0.21724874,0.20355952,0.0,0.20355952,0.05088988
42110,0.2538325,0.0041359104,0.5035291,0.4961765,0.0,0.4961765,0.12404413
42113,0.21684958,0.0039369212,0.42976224,0.42313445,0.0,0.42313445,0.10578361
42115,0.046725035,0.003886408,0.08956366,0.07541796,0.0,0.07541796,0.01885449
42118,0.36450395,0.00355818,0.72544974,0.67473596,0.0,0.67473596,0.16868399
42121,0.1811244,0.003283974,0.35896483,0.34660006,0.0,0.34660006,0.086650014
42123,0.42609558,0.0029970706,0.84919405,0.8276593,0.0,0.8276593,0.20691483
42126,0.025918826,0.0028149162,0.049022734,0.03763343,0.0,0.03763343,0.009408358
42128,0.23019879,0.0026879413,0.45770964,0.43490314,0.0,0.43490314,0.108725786
42131,0.2004981,0.002532453,0.39846376,0.37561592,0.0,0.37561592,0.09390398
42134,0.18234314,0.0024760943,0.36221018,0.34497687,0.0,0.34497687,0.08624422
42136,0.5462435,0.0024636157,1.0900234,1.126213,0.0,1.126213,0.28155324
42139,0.1266575,0.0024196745,0.25089532,0.22950774,0.0,0.22950774,0.057376936
42141,0.21578945,0.002387943,0.42919096,0.40385243,0.0,0.40385243,0.10096311
42144,0.13997763,0.0021299666,0.2778253,0.2979898,0.0,0.2979898,0.07449745
42147,0.18249433,0.0019044555,0.3630842,0.33481956,0.0,0.33481956,0.08370489
42149,0.0409281,0.0019711556,0.07988504,0.07103256,0.0,0.07103256,0.01775814
42152,0.18894209,0.002071086,0.3758131,0.3425916,0.0,0.3425916,0.0856479
42155,0.054052178,0.00214121,0.10596315,0.11748523,0.0,0.11748523,0.029371308
42157,0.40763974,0.0022500572,0.81302947,0.872658,0.0,0.872658,0.2181645
42160,0.032410588,0.0024629543,0.06235822,0.047234077,0.0,0.047234077,0.011808519
42162,0.4291123,0.0025565508,0.855668,0.91689533,0.0,0.91689533,0.22922383
42165,0.034103412,0.0027493183,0.0654575,0.05815977,0.0,0.05815977,0.014539942
42168,0.042740416,0.0029224704,0.08255836,0.09122616,0.0,0.09122616,0.02280654
42170,0.09246034,0.0029913422,0.18192935,0.2000432,0.0,0.2000432,0.0500108
42173,0.22407211,0.0031746246,0.44496962,0.4857764,0.0,0.4857764,0.1214441
42175,0.27737966,0.0033032242,0.5514561,0.510958,0.0,0.510958,0.1277395
42178,0.03821061,0.0035210599,0.07290016,0.0864774,0.0,0.0864774,0.02161935
42181,0.7287679,0.003793155,1.4537426,1.3533989,0.0,1.3533989,0.33834973
42183,0.020938637,0.0039377445,0.03793953,0.043443646,0.0,0.043443646,0.010860912
42186,0.3801626,0.0040843864,0.75624084,0.8096137,0.0,0.8096137,0.20240343
42188,0.014208223,0.004431145,0.023985302,0.027368004,0.0,0.027368004,0.006842001
42191,0.25707874,0.004637538,0.50952,0.4637936,0.0,0.4637936,0.1159484
42194,0.17449667,0.004871027,0.34412232,0.3793515,0.0,0.3793515,0.094837874
42196,0.49835452,0.004880071,0.9918289,1.0540525,0.0,1.0540525,0.26351312
42199,0.37684023,0.0051842476,0.74849623,0.690152,0.0,0.690152,0.172538
42202,0.5202665,0.005175091,1.0353578,0.9512331,0.0,0.9512331,0.23780827
42204,0.14943878,0.005270362,0.2936072,0.2635609,0.0,0.2635609,0.06589022
42207,0.13715714,0.005359255,0.26895502,0.27953616,0.0,0.27953616,0.06988404
42209,0.5826046,0.0054445267,1.1597646,1.055854,0.0,1.055854,0.2639635
42212,0.29408386,0.0056008273,0.5825669,0.6464371,0.0,0.6464371,0.16160928
42215,0.025586655,0.005695606,0.045477703,0.068377,0.0,0.068377,0.01709425
42217,0.0742794,0.0057406607,0.14281814,0.11339215,0.0,0.11339215,0.028348038
42220,0.1646129,0.0057425103,0.32348332,0.30164114,0.0,0.30164114,0.075410284
42222,0.12076799,0.005776241,0.23575974,0.22823985,0.0,0.22823985,0.057059962
42225,0.22272359,0.005973051,0.4394741,0.42173657,0.0,0.42173657,0.10543414
42228,0.0327497,0.0059746006,0.059524804,0.070893094,0.0,0.070893094,0.017723273
42230,0.18431737,0.005898664,0.36273608,0.36186624,0.0,0.36186624,0.09046656
42233,0.48291436,0.0058469996,0.95998174,0.98298615,0.0,0.98298615,0.24574654
42235,0.122989394,0.006023129,0.23995566,0.23610578,0.0,0.23610578,0.059026446
42238,0.32474786,0.0062893755,0.64320636,0.6503604,0.0,0.6503604,0.1625901
42241,0.17443527,0.0062923073,0.34257826,0.32011914,0.0,0.32011914,0.080029786
42243,0.043995086,0.0063062184,0.081683956,0.0978429,0.0,0.0978429,0.024460725
42246,0.03564207,0.0062956936,0.06498844,0.044268887,0.0,0.044268887,0.011067222
42249,0.5228196,0.006187998,1.0394511,1.0101124,0.0,1.0101124,0.2525281
42251,0.24545409,0.006115094,0.4847931,0.48294997,0.0,0.48294997,0.12073749
42254,0.89020663,0.005902207,1.7745112,1.666942,0.0,1.666942,0.4167355
42256,0.27455264,0.005770963,0.5433343,0.48843682,0.0,0.48843682,0.122109205
42259,0.048263002,0.005556829,0.090969175,0.0788524,0.0,0.0788524,0.0197131
42262,0.6492031,0.0052374173,1.2931688,1.2251726,0.0,1.2251726,0.30629316
42264,0.73399454,0.0050084847,1.4629806,1.5365387,0.0,1.5365387,0.38413468
42267,0.072808154,0.004733234,0.14088307,0.15227354,0.0,0.15227354,0.038068384
42269,0.2648906,0.0045217928,0.52525944,0.5129686,0.0,0.5129686,0.12824215
42272,0.24935175,0.004278946,0.49442458,0.51624894,0.0,0.51624894,0.12906224
42275,0.48596013,0.0037980487,0.9681222,0.9776816,0.0,0.9776816,0.2444204
42277,0.06634886,0.0034730313,0.12922469,0.105897695,0.0,0.105897695,0.026474424
42280,0.8678982,0.002884604,1.732912,1.666808,0.0,1.666808,0.416702
42282,0.3703245,0.0026649868,0.737984,0.75584024,0.0,0.75584024,0.18896006
42285,0.27022773,0.002304998,0.5381505,0.5128953,0.0,0.5128953,0.12822382
42288,0.022822313,0.0019946254,0.04365,0.03824609,0.0,0.03824609,0.009561523
42290,0.02430241,0.0018581717,0.046746653,0.048244074,0.0,0.048244074,0.0120610185
42293,0.05475782,0.001755068,0.10776057,0.11719048,0.0,0.11719048,0.02929762
42296,0.07440565,0.0017741183,0.14703716,0.15829842,0.0,0.15829842,0.039574604
42298,0.81753653,0.0017551798,1.6333178,1.6993092,0.0,1.6993092,0.4248273
42301,0.06042384,0.0017961562,0.11905152,0.105671905,0.0,0.105671905,0.026417976
42303,0.083058044,0.0018563928,0.16425969,0.17386031,0.0,0.17386031,0.043465078
42306,0.056269202,0.0020388504,0.11049956,0.12345407,0.0,0.12345407,0.030863518
42309,0.49878895,0.0020789274,0.99549896,1.0465673,0.0,1.0465673,0.26164183
42311,0.6747934,0.002192463,1.3473943,1.4203037,0.0,1.4203037,0.35507593
42314,0.50115407,0.002359962,0.9999482,0.934473,0.0,0.934473,0.23361824
42316,0.097842626,0.0024365943,0.19324864,0.21206528,0.0,0.21206528,0.05301632
42319,0.025577122,0.0025630572,0.048591185,0.06051056,0.0,0.06051056,0.01512764
42322,0.30162308,0.0026832873,0.6005629,0.54673225,0.0,0.54673225,0.13668306
42324,0.15857247,0.0027535986,0.31439134,0.3410647,0.0,0.3410647,0.08526617
42327,0.19662519,0.002913886,0.3903365,0.36689082,0.0,0.36689082,0.091722704
42329,0.13999274,0.003049545,0.27693594,0.24924652,0.0,0.24924652,0.06231163
42332,0.48588324,0.0032108864,0.9685556,0.8885258,0.0,0.8885258,0.22213145
42335,0.16867863,0.0033159964,0.33404124,0.36099756,0.0,0.36099756,0.09024939
42337,0.24801236,0.0033721353,0.49265257,0.52189106,0.0,0.52189106,0.13047276
42340,0.14344752,0.0034152716,0.28347978,0.26001644,0.0,0.26001644,0.06500411
42343,0.03822624,0.0035777532,0.072874725,0.057863027,0.0,0.057863027,0.014465757
42345,0.14170845,0.0036303087,0.2797866,0.26800182,0.0,0.26800182,0.067000456
42348,0.08207581,0.0037507934,0.16040084,0.19407398,0.0,0.19407398,0.048518494
42350,0.05103999,0.0037600913,0.09831989,0.115638115,0.0,0.115638115,0.028909529
42353,0.51288944,0.0038779788,1.021901,0.9749942,0.0,0.9749942,0.24374855
42356,0.24155705,0.004017449,0.47909665,0.48216143,0.0,0.48216143,0.12054036
42358,0.7279935,0.0040906104,1.4518963,1.3600441,0.0,1.3600441,0.34001103
