base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
42061,0.58173865,0.001546957,1.1619304,1.1600362,0.00044812227,1.1883227,0.29708067
42063,0.22559555,0.001665032,0.44952607,0.4613957,0.0009298933,0.48071012,0.12017753
42066,0.17328465,0.0020564583,0.34451285,0.35311425,0.00032245493,0.35352373,0.08838093
42068,0.04549138,0.0014775139,0.08950525,0.0854068,0.0,0.0854068,0.0213517
42071,0.19871718,0.0013333071,0.39610103,0.38090792,0.0002138908,0.3897539,0.09743848
42074,0.5781385,0.0018307846,1.1544461,1.1789522,0.00013028376,1.1683743,0.29209358
42076,0.25862786,0.0018485872,0.51540715,0.47645426,0.0011546435,0.45423254,0.113558136
42079,0.034258902,0.0018449542,0.066672854,0.066932894,0.0005150018,0.06588754,0.016471885
42081,0.06944103,0.0038681782,0.13501388,0.17136763,0.0013141665,0.14976744,0.03744186
42084,0.687779,0.0023306643,1.3732275,1.308204,0.0009680076,1.2641,0.316025
42087,0.1241253,0.0028317813,0.24541883,0.2801921,0.0006379383,0.270824,0.067706
42089,0.08583272,0.0022057153,0.16945975,0.19596012,0.00024623954,0.19809334,0.049523335
42092,0.2509229,0.0030707463,0.49877504,0.55999136,0.0,0.55999136,0.13999784
42094,0.7496683,0.0017207874,1.4976158,1.4700613,0.0030019127,1.3679619,0.34199047
42097,0.061131988,0.0035937317,0.11867025,0.13975433,0.0,0.13975433,0.03493858
42100,0.12337292,0.0037531916,0.24299265,0.28868946,0.0004993646,0.27819547,0.06954887
42102,0.302852,0.0032529694,0.602451,0.681482,0.00023842386,0.68420106,0.17105027
42105,0.37066996,0.0035455103,0.7377944,0.658666,0.0006136053,0.67010707,0.16752677
42108,0.13499363,0.0034254317,0.26656184,0.21892829,0.0011144192,0.20355952,0.05088988
42110,0.28289607,0.0041653984,0.56162673,0.4925543,0.00058432086,0.4961765,0.12404413
42113,0.24446476,0.0035478428,0.4853817,0.43095458,0.00054014474,0.42313445,0.10578361
42115,0.050109018,0.0045015337,0.095716506,0.07541796,0.0,0.07541796,0.01885449
42118,0.3881934,0.004553892,0.77183294,0.67473596,0.0,0.67473596,0.16868399
42121,0.19734462,0.003152618,0.39153662,0.3407496,0.00016308865,0.34660006,0.086650014
42123,0.45788965,0.0027573516,0.91302186,0.83829635,0.0007112446,0.8276593,0.20691483
42126,0.027898142,0.0039026386,0.051893648,0.036269527,0.0011599768,0.03763343,0.009408358
42128,0.25027302,0.0036752669,0.49687076,0.43490314,0.0,0.43490314,0.108725786
42131,0.20527025,0.0016375739,0.4089029,0.37335303,2.7371561e-05,0.37561592,0.09390398
42134,0.19703735,0.0034939095,0.3905808,0.35175478,0.00048065526,0.34497687,0.08624422
42136,0.51756114,0.0034099352,1.0317124,1.126213,0.0,1.126213,0.28155324
42139,0.13843006,0.003543493,0.27331662,0.22950774,0.0,0.22950774,0.057376936
42141,0.23284477,0.0038975298,0.461792,0.40385243,0.0,0.40385243,0.10096311
42144,0.13004813,0.0033141237,0.25678214,0.29446134,0.0005484601,0.2979898,0.07449745
42147,0.19224083,0.0032674968,0.38121417,0.33481956,0.0,0.33481956,0.08370489
42149,0.037696805,0.0030091095,0.0723845,0.07103256,0.0,0.07103256,0.01775814
42152,0.18323125,0.0026256705,0.36383685,0.32735145,0.0012774768,0.3425916,0.0856479
42155,0.0538749,0.0021477987,0.105602,0.11748523,0.0,0.11748523,0.029371308
42157,0.40720427,0.0057076905,0.80870086,0.9059456,0.0009935497,0.872658,0.2181645
42160,0.029840114,0.0016709962,0.058009233,0.047240257,0.0005928325,0.047234077,0.011808519
42162,0.43463132,0.0022023113,0.86706036,0.9138463,0.00091303093,0.91689533,0.22922383
42165,0.032295953,0.0021448715,0.06244703,0.062648155,0.0006830948,0.05815977,0.014539942
42168,0.041352775,0.0011174502,0.081588104,0.09122616,0.0,0.09122616,0.02280654
42170,0.0965833,0.0013526961,0.1918139,0.20588851,0.0015461296,0.2000432,0.0500108
42173,0.23158185,0.0011320871,0.4620316,0.4857764,0.0,0.4857764,0.1214441
42175,0.28161025,0.0012144108,0.56200606,0.53743935,0.0013216672,0.510958,0.1277395
42178,0.040327452,0.001480972,0.07917393,0.0864774,0.0,0.0864774,0.02161935
42181,0.7128806,0.0017133703,1.4240478,1.3570881,0.0010292438,1.3533989,0.33834973
42183,0.02263978,0.0016758889,0.04360367,0.042360466,0.0001800871,0.043443646,0.010860912
42186,0.37509945,0.0019109361,0.748288,0.79563355,0.00056239293,0.8096137,0.20240343
42188,0.016649736,0.0039796825,0.029319787,0.028780252,0.00062069297,0.027368004,0.006842001
42191,0.25699517,0.0022341218,0.5117562,0.45789695,0.0015364845,0.4637936,0.1159484
42194,0.16816087,0.0027257726,0.333596,0.3793515,0.0,0.3793515,0.094837874
42196,0.4909133,0.0028155718,0.97901106,1.0540525,0.0,1.0540525,0.26351312
42199,0.39163366,0.0026253331,0.78064203,0.7210014,0.0009889822,0.690152,0.172538
42202,0.52030724,0.0031949747,1.0374194,0.9511052,0.00033322244,0.9512331,0.23780827
42204,0.15652673,0.003110769,0.3099427,0.2635609,0.0,0.2635609,0.06589022
