base_start,pair_mse,none_mse,event_mse,separation_mse,predicted_separation_energy,true_separation_energy,ambiguity_floor
42061,0.54501075,0.0029166618,1.0871048,1.1883227,0.0,1.1883227,0.29708067
42063,0.21340732,0.00265035,0.4241643,0.48071012,0.0,0.48071012,0.12017753
42066,0.0034774775,0.0012293799,0.005725575,0.00841784,0.31101182,0.35352373,0.08838093
42068,0.047978077,0.0016646441,0.09429151,0.0854068,0.0,0.0854068,0.0213517
42071,0.027166046,0.0009279019,0.053404193,0.055652007,0.44584307,0.3897539,0.09743848
42074,0.038454656,0.0010060691,0.075903244,0.07939187,0.84100026,1.1683743,0.29209358
42076,0.25307217,0.0019964485,0.5041479,0.45423254,0.0,0.45423254,0.113558136
42079,0.027184194,0.0010513588,0.05331703,0.05882578,0.042725433,0.06588754,0.016471885
42081,0.06454772,0.0017339438,0.12736149,0.14976744,0.0,0.14976744,0.03744186
42084,0.046239395,0.00069831795,0.091780476,0.089562215,0.92062634,1.2641,0.316025
42087,0.015083128,0.0009618872,0.029204369,0.026121443,0.262596,0.270824,0.067706
42089,0.085519604,0.0025353644,0.16850384,0.19809334,0.0,0.19809334,0.049523335
42092,0.01992159,0.0014679305,0.038375247,0.03771068,0.51880926,0.55999136,0.13999784
42094,0.068648785,0.0016907206,0.13560686,0.12701721,0.9622399,1.3679619,0.34199047
42097,0.061102707,0.0047544437,0.117450975,0.13975433,0.0,0.13975433,0.03493858
42100,0.0072572865,0.0023448684,0.012169704,0.010883774,0.27523077,0.27819547,0.06954887
42102,0.29247805,0.004905815,0.5800503,0.68420106,0.0,0.68420106,0.17105027
42105,0.3905299,0.0045966567,0.7764632,0.67010707,0.0,0.67010707,0.16752677
42108,0.014278855,0.002594264,0.025963446,0.018804142,0.1924426,0.20355952,0.05088988
42110,0.011683687,0.0034047132,0.01996266,0.017830765,0.41762614,0.4961765,0.12404413
42113,0.010031972,0.0029143982,0.017149545,0.013902675,0.3673065,0.42313445,0.10578361
42115,0.050800517,0.005346838,0.0962542,0.07541796,0.0,0.07541796,0.01885449
42118,0.39774767,0.005154923,0.7903404,0.67473596,0.0,0.67473596,0.16868399
42121,0.019906819,0.003141352,0.036672287,0.04910365,0.41085562,0.34660006,0.086650014
42123,0.47079325,0.0050070398,0.93657947,0.8276593,0.0,0.8276593,0.20691483
42126,0.013448062,0.0028204268,0.024075696,0.01797238,0.016123375,0.03763343,0.009408358
42128,0.25625518,0.0036724864,0.5088379,0.43490314,0.0,0.43490314,0.108725786
42131,0.014362705,0.0024895223,0.026235888,0.03364454,0.4282236,0.37561592,0.09390398
42134,0.016403029,0.002363678,0.030442381,0.03325875,0.3465136,0.34497687,0.08624422
42136,0.516397,0.0026226582,1.0301713,1.126213,0.0,1.126213,0.28155324
42139,0.013857263,0.001902636,0.02581189,0.017760195,0.18498345,0.22950774,0.057376936
42141,0.02942914,0.0018101069,0.05704817,0.05549555,0.42423525,0.40385243,0.10096311
42144,0.12395996,0.0036806243,0.24423929,0.2979898,0.0,0.2979898,0.07449745
42147,0.19374913,0.0024511341,0.3850471,0.33481956,0.0,0.33481956,0.08370489
42149,0.037512947,0.0017703752,0.07325552,0.07103256,0.0,0.07103256,0.01775814
42152,0.017615616,0.001293188,0.033938047,0.039900232,0.43158627,0.3425916,0.0856479
42155,0.03845825,0.0016491698,0.07526733,0.07900709,0.020050824,0.11748523,0.029371308
42157,0.018450933,0.0013456763,0.03555619,0.0368313,0.80371064,0.872658,0.2181645
42160,0.023817135,0.0019614417,0.04567283,0.036007334,0.006888049,0.047234077,0.011808519
42162,0.020895438,0.002041716,0.03974916,0.041289255,0.8174944,0.91689533,0.22922383
42165,0.034153823,0.0015395288,0.06676812,0.079183005,0.06496431,0.05815977,0.014539942
42168,0.041471187,0.00092463667,0.08201774,0.074672736,0.088935785,0.09122616,0.02280654
42170,0.003081477,0.0010590717,0.0051038824,0.0062981136,0.1869575,0.2000432,0.0500108
42173,0.22384298,0.0013745107,0.44631144,0.4857764,0.0,0.4857764,0.1214441
42175,0.010900903,0.00091517554,0.02088663,0.019733792,0.41798738,0.510958,0.1277395
42178,0.037472144,0.0023344953,0.07260979,0.0864774,0.0,0.0864774,0.02161935
42181,0.047084555,0.0017487115,0.0924204,0.083226524,1.0616801,1.3533989,0.33834973
42183,0.022995481,0.0026621737,0.04332879,0.043443646,0.0,0.043443646,0.010860912
42186,0.035054844,0.0028180971,0.06729159,0.0707252,0.6199061,0.8096137,0.20240343
42188,0.022753326,0.0027676362,0.042739015,0.036888,0.0355996,0.027368004,0.006842001
42191,0.01659522,0.0033288642,0.029861577,0.016800664,0.3481983,0.4637936,0.1159484
42194,0.005241275,0.003437441,0.0070451084,0.011995494,0.31152776,0.3793515,0.094837874
42196,0.047082763,0.0031598608,0.09100566,0.1039207,0.724425,1.0540525,0.26351312
42199,0.036987264,0.002464445,0.071510084,0.069572695,0.6612409,0.690152,0.172538
42202,0.5400681,0.00456113,1.075575,0.9512331,0.0,0.9512331,0.23780827
42204,0.16750179,0.004350791,0.3306528,0.2635609,0.0,0.2635609,0.06589022
